title	author	editor	pub	pubplace	date	edition	vols	pages	url	ia_url
 القرارات النحويَّة والتصريفية لمجمع اللغة العربية بالقاهرة	 الأستاذ الدكتور خالد بن سعود العصيمي		 دار التدمرية للنشر والتوزيع	 الرياض - بيروت	 1424 هـ ، 2003 م	 الأولى	 1 	 815 	https://www.lisanarb.com/2024/08/pdf_780.html	 https://archive.org/download/lis_n88/lisanarb.com_n8806.pdf  https://archive.org/stream/lis_n88/lisanarb.com_n8806#mode/2up 
 القاعدة النحوية الجائزة والمعنى ؛ دراسة نحوية نظرية تحليلية	 الأستاذ الدكتور باكير محمد علي		 الطاووس , قرص سينا	 أنقره	 2020م	 الأولى	 1 	 255 	https://www.lisanarb.com/2024/08/pdf_617.html	 https://archive.org/download/lis_n88/lisanarb.com_n8802.pdf  https://archive.org/stream/lis_n88/lisanarb.com_n8802#mode/2up 
 ألفية الآثاري (كفاية الغلام في إعراب الكلام)	 زين الدين شعبان بن محمد القرشى الآثارى (ت 828 هـ)	 الأستاذ الدكتور زهير زاهر . الأستاذ هلال ناجى	 عالم الكتب للطباعة والنشر والتوزيع	 بيروت	 1407هـ ، 1987م	 الأولى	 1 	 126 	https://www.lisanarb.com/2024/08/pdf_334.html	 https://archive.org/download/lis_n88/lisanarb.com_n8801.pdf  https://archive.org/stream/lis_n88/lisanarb.com_n8801#mode/2up 
 الزيادات على المنظومة الشبراويَّة في النحو	 الشيخ حافظ الحكمى		 غير محدد		 1900م	 الأولى	 1 	 32 	https://www.lisanarb.com/2024/08/pdf_673.html	 https://archive.org/download/lis_n67/lisanarb.com_n6710.pdf  https://archive.org/stream/lis_n67/lisanarb.com_n6710#mode/2up 
 الزوائد على قطر الندى	 الدكتور محمد بن أحمد آل مزهر الشهري		 غير محدد	 	 1442هـ ، 2020م	 الأولى	 1 	 32 	https://www.lisanarb.com/2024/08/pdf_672.html	 https://archive.org/download/lis_n118/lisanarb.com_n1806.pdf  https://archive.org/stream/lis_n118/lisanarb.com_n1806#mode/2up 
 الرؤية النحوية عند الطبري ؛ قراءة في جامع البيان عن تأويل القرآن	 الأستاذ الدكتور ناصر الدين أبو خضير		 عالم الكتب الحديث للنشر والتوزيع	 الأردن	 2014م	 الأولى	 1 	 280 	https://www.lisanarb.com/2024/08/pdf_731.html	https://archive.org/download/lis_n117/lisanarb.com_n1708.pdf  https://archive.org/stream/lis_n117/lisanarb.com_n1708#mode/2up 
 الدرر اللوامع على همع الهوامع شرح جمع الجوامع في النحو	 أحمد بن الأمين الشنقيطى		 دار الكتب العلمية للنشر والتوزيع	 بيروت	 1419هـ ، 1999م	 الأولى	 3 		https://www.lisanarb.com/2024/08/pdf_463.html	https://archive.org/download/lis_n118/lisanarb.com_n1801.pdf https://archive.org/download/lis_n118/lisanarb.com_n1802.pdf https://archive.org/download/lis_n118/lisanarb.com_n1803.pdf https://archive.org/stream/lis_n118/lisanarb.com_n1801#mode/2up https://archive.org/stream/lis_n118/lisanarb.com_n1802#mode/2up https://archive.org/stream/lis_n118/lisanarb.com_n1803#mode/2up 
 الدرة البهية في التعريفات النحوية	 أبي عبد الله يحيى بن محمد بن القاسم محمد الديملى		 المكتبة الشاملة الذهبية للنشر والتوزيع	 بيروت	 1443هـ	 2	 1 	 54 	https://www.lisanarb.com/2024/08/pdf_681.html	https://archive.org/download/lis_n116/lisanarb.com_n1605.pdf  https://archive.org/stream/lis_n116/lisanarb.com_n1605#mode/2up 
 نحو الخليل من خلال معجمه	 الأستاذ الدكتور هادي نهر		 دار اليازوري العلمية للنشر والتوزيع	 الأردن	 2006م	 الأولى	 1 	 170 	https://www.lisanarb.com/2024/08/pdf_697.html	 https://archive.org/download/lis_m185/lisanarb.com_m8507.pdf  https://archive.org/stream/lis_m185/lisanarb.com_m8507#mode/2up 
 شرح اللمحة البدرية ؛ في علم اللغة العربية (ط اليازوري)	 ابن هشام الأنصاري النحوى (ت 761هـ)	 الأستاذ الدكتور هادي نهر	 دار اليازوري العلمية للنشر والتوزيع	 الأردن	 2009م	 الأولى	 2 تم دمجها في مجلد واحد	 894 	https://www.lisanarb.com/2024/08/pdf_625.html	 https://archive.org/download/lis_m185/lisanarb.com_m8504.pdf  https://archive.org/stream/lis_m185/lisanarb.com_m8504#mode/2up 
 شرح التَّعريف بضروري التصريف (مفهرس)	 ابن مالك الأندلسي، أبو عبد الله محمد جمال الدين الطائي (ت 672 هـ)	 الأستاذ الدكتور هادي نهر و الأستاذ الدكتور الأستاذ الدكتور هلال ناجى	 دار الفكر للطباعة والنشر	 الأردن	 1422هـ ، 2002م	 الأولى	 1 	 288 	https://www.lisanarb.com/2024/08/pdf_852.html	https://archive.org/download/lis_m185/lisanarb.com_m8503.pdf  https://archive.org/stream/lis_m185/lisanarb.com_m8502#mode/2up 
 الصرف الوافي ؛ دراسة وصفية تطبيقية (مفهرس)	 الأستاذ الدكتور هادي نهر		 عالم الكتب الحديث للنشر والتوزيع	 إربد - الأردن	 2010م	 الأولى	 1 	 348 	https://www.lisanarb.com/2024/08/pdf_988.html	 https://archive.org/download/lis_m184/lisanarb.com_m8409.pdf  https://archive.org/stream/lis_m184/lisanarb.com_m8409#mode/2up 
 مكانة الدكتور هادي نهر في اللسانيات	 الأستاذ الدكتور زامل تركى سلمان					 الأولى	 1 	 16 	https://www.lisanarb.com/2024/08/pdf_917.html	 https://archive.org/download/lis_m185/lisanarb.com_m8509.pdf  https://archive.org/stream/lis_m185/lisanarb.com_m8509#mode/2up 
